Organization,Technologies,Topics,Selected_Students
CERN-HSF,"python, c/c++, machine learning, data analysis, concurrency","machine learning, big data, performance optimization, algorithmics, particle physics",34
NumFOCUS,"python, javascript, c/c++, r, julia","data science, graphics, scientific computing, numerical computing",28
SCoRe Lab,"python, machine learning, web development, cloud, mobile","machine learning, web development, cloud, information security, mobile",25
Python Software Foundation,python,"security, machine learning, science, ui design",24
INCF,"python, javascript, c/c++, java, tensorflow","data visualization, big data, neuroscience, brain modelling, neuroimage processing",21
R Project for Statistical Computing,"c, javascript, c++, r-project, fortran","machine learning, data visualization, data science, graphics, statistics",20
KDE Community,"c, opencv, c++, qt","applications, vr, graphics",19
Zulip,"python, django, typescript, react native, electron","mobile, great developer tooling, chat, visual design, bots",18
Cloud Native Computing Foundation (CNCF),"rust, golang, kubernetes, cloud, service mesh","web, cloud, devops, kubernetes, service mesh",17
TensorFlow,"python, c/c++, machine learning, data analysis, deep learning","machine learning, data science, deep learning, python, data",17
The Apache Software Foundation,"java, c++","big data, cloud, libraries",17
The Mifos Initiative,"mysql, android, java, spring, angular","web, big data, cloud, fintech, mobile banking",17
National Resource for Network Biology (NRNB),"python, javascript, java, r, rest","web application, data science, graphics, scientific computing, network biology",15
The Julia Language,"julia, julialang","machine learning, data science, scientific computing, numerical computing, technical computing",15
The LLVM Compiler Infrastructure,"llvm, clang, mlir","compilers, code analysis, programming languages and development tools, debuggers",15
Digital Impact Alliance (DIAL) at UN Foundation,"python, javascript, android, c++, php","humanitarian, nonprofit, humanrights, international, global",14
GNOME,"c, python, rust, gtk, vala","games, desktop, applications, productivity",14
OpenCV,"javascript, c/c++, cuda, python 3","machine learning, robotics, computer vision, graphics, deep learning",14
Wikimedia Foundation,"python, javascript, html, php, css","semantic web, wikipedia, wikimedia, mediawiki, i18n",14
The Linux Foundation,"c, c++, cups, ipp","kernel, automotive, printing, lsb, spdx",13
Catrobat,"android, java, swift, php, ios","education, app development, visual programming, creativity tools, gaming",12
Haskell.org,"haskell, ghc, cabal, codeworld, servant","education, compilers, haskell, functional programming, build tools",12
Oppia Foundation,"python, kotlin, webpack, css, angular","education, web, community, interactive, tools",12
OWASP Foundation,"python, javascript, node.js, .net","information security, application security, web application security, cyber security",12
Mozilla,"python, javascript, html5, rust, web development","open source, web browser, devtools, information security",11
Processing Foundation,"python, javascript, android, java, opengl","education, web, graphics, creative coding, design",11
The Honeynet Project,"python, machine learning, golang, networking, honeypot","research, honeypots, deception, malware, honeynets",11
JBoss Community,"java, react, golang","database, cloud, programming languages and development tools, kubernetes, aerogear",10
OpenAstronomy,"python, javascript, julia, numba, spark","astronomy, solar physics, high energy astrophysics, orbital mechanics, cloud infrastructure",10
OSGeo,"python, c/c++, java, sql, open source databases","open science, gis, citizen science, geolocation, mapping",10
RoboComp,"python, opencv, qt, c++11, component-based development","robotics, computer vision, multi-agent system, component-based development",10
AOSSIE,"python, javascript, swift, kotlin","machine learning, environment, electronic voting, natural language processing, social science",9
Blender Foundation,"c, python, opengl, c++, vulkan","virtual reality, graphics, 3d, animation, artist tools",9
Boost C++,"c++, c++11, c++17","c++, programming libraries, peer-reviewed libraries, c++ standard",9
CHAOSS,"python, mysql, javascript, elasticsearch, kibana","analytics, community health",9
Cuneiform Digital Library Initiative (CDLI),"mysql, python 3, html, php, css","computational linguistics, data visualization, web portal, data processing, digitization",9
OpenMRS,"mysql, javascript, android, java, spring","science and medicine, developing countries, open source medical records",9
Sugar Labs,"c, python, javascript, gtk, pygame",education,9
BRL-CAD,"python, c/c++, opengl, opencl, tcl/tk","data visualization, ray tracing, 3d cad geometry, solid modeling, real-time computer graphics",8
CCExtractor Development,"c, python, rust, flutter, ml","linux, ai, vision, media, bittorrent",8
Debian,"python, javascript, c/c++, git, irc","operating systems, package managers, kernel, packaging",8
Liquid Galaxy project,"python, javascript, java, html, vue","visualization, machine learning, data visualization, graphics, maps",8
mlpack,"python, machine learning, c++, deep learning, templates","machine learning, data science, reinforcement learning, optimization, neighbor-search",8
Open Bioinformatics Foundation (OBF),"python, javascript, c/c++","bioinformatics, computational biology",8
Red Hen Lab,"machine learning, opencv, nlp, asr, data science","big data, data science, multimedia, communication, cognitive science",8
The Terasology Foundation,"java, opengl, blender, gradle, lwgjl","voxel, sandbox, games, graphics, ai",8
VideoLAN,"c, go, c++, c#, asm","vr, audio, video, multimedia, video processing",8
Apertium,"python, c++, xml, bash","natural language processing, machine translation, less-resourced languages",7
CGAL Project,"c++, qt, git","computational geometry, mesh processing, arrangement, geometry processing, triangulation",7
DBpedia,"python, javascript, java, scala, rdf","data science, natural language processing, semantic web, linked data, knowledge graph",7
Eclipse Foundation,"java, che, deep learning, eclipsejavaide, jakartaee","robotics, automotive, tools, cloud native java, iot & edge",7
Jenkins project,"javascript, java, go, docker, kubernetes","developer tools, automation, continuous integration, continuous delivery, devops",7
MetaBrainz Foundation Inc.,"python, perl, postgres, solr, spark","open data, community, music, metadata, books",7
Open Source Robotics Foundation,"python, ros, gazebo, c++",robotics,7
Rocket.Chat,"javascript, react, ruby, reactnative, chatbots","collaboration, instant messaging, communication, team chat, social-network",7
The GNU Project,"python, javascript, android, c/c++, scheme","operating systems, package managers, astronomy, reverse engineering, http",7
FreeBSD Project,"c/c++, llvm, assembly, shell script, make","virtualization, operating systems, embedded systems, cloud, kernel",6
Godot Engine,"c/c++, opengl, vulkan","graphics, cross-platform, game development",6
LabLua,"lua, céu, lunatik, pallene","operating systems, compilers, scripting languages, reactive programming",6
LibreOffice,"python, java, c++","office suite, desktop application, android, end-user application",6
Matrix,"python, javascript, go, react, rust","realtime communication, chat, encryption, decentralised, team chat",6
MIT App Inventor,"javascript, android, java, google web toolkit, junit","education, web, mobile, apps, development",6
SymPy,python,"mathematics, physics, symbolic mathematics",6
The Java Pathfinder Team,"android, distributed systems, jvm, javajava","model checking, symbolic execution, verification of concurrent systems, program analysis, test input generation",6
The NetBSD Foundation,"c, bsd make","kernel, packaging, userland, unix, bsd",6
AboutCode.org,"python, postgresql, javascript, c/c++, rust","machine learning, software analysis, application security, license-scan, dependencies",5
AerospaceResearch.net,"python, c++, vhdl, sqlite, raspberry pi","distributed computing, space applications, software defined radio, cubesats, simulations",5
ArduPilot,"python, linux, c/c++, drones, robotics","robotics, embedded systems, vision, real-time os, drones",5
Canadian Centre for Computational Genomics,"python, javascript, react, nodejs, r-project","visualization, bioinformatics, web development, data science, statistics",5
Creative Commons,"python, javascript, django, vue.js, wordpress","web, copyleft, creative commons, legal, nonprofits",5
Dart,"flutter, dart, programming-language",mobile-apps,5
FFmpeg,"c, git, asm","audio, video, subtitles, multimedia",5
